Date,^GSPC,0,10,20,30,40
2014-01-03,-0.0003330203,0.0020206496,-0.0040147156,-0.0028584148,0.0011980985,0.0018429095
2014-01-06,-0.0025149269,-0.0022159228,-0.0013772985,0.0030760977,-0.0040121847,-0.0030869162
2014-01-07,0.0060633452,0.0022830041,0.0039147316,0.006672794,0.0044353269,0.0077617681
2014-01-08,-0.0002122317,-0.0037002293,0.0018258439,0.0009250832,-0.0019789971,0.0004571872
2014-01-09,0.0003482487,0.0017347746,-0.000926232,-0.0060656066,0.0045155305,0.0001413217
2014-01-10,0.0023040304,0.0029617893,0.0064524347,0.0007155784,0.0073419483,0.0028346209
2014-01-13,-0.0126559665,-0.0120947696,-0.0085583776,-0.0113713015,-0.0040528611,-0.0075348122
2014-01-14,0.0107598763,0.0106998971,0.0098897386,0.006672794,0.0058578439,0.0114735262
2014-01-15,0.0051528891,0.0024779681,0.0002800077,0.0047979634,0.0009119879,0.000445229
2014-01-16,-0.0013480284,-0.0002235472,0.0032594106,-0.0072739669,-0.0022239655,-0.0097131701
2014-01-17,-0.0039027806,-0.0005443403,-0.0048802448,-0.0083772186,-2.47173011303E-06,-0.0044401404
2014-01-21,0.0027699124,0.0037157591,0.0039014039,0.0002545533,0.0032550078,0.0021379134
2014-01-22,0.0005746998,0.0017549023,-0.0021204054,-0.0016570124,0.0029272297,0.0019481359
2014-01-23,-0.0089293245,-0.0118556395,-0.010873735,-0.0032689576,-0.0094520263,-0.0068502929
2014-01-24,-0.0210964215,-0.0160251558,-0.0167953148,-0.0144111905,-0.0219449066,-0.0097131701
2014-01-27,-0.0048882216,0.0005113175,-0.0004444718,-0.00795017,-0.005585839,-0.007155431
2014-01-28,0.0061218754,0.0082884301,0.0066139074,0.0067727515,0.0036026295,0.0052986806
2014-01-29,-0.010261704,-0.007704692,-0.0067371707,-0.0081704203,-0.0048636743,-0.0097131701
2014-01-30,0.0112040442,0.0091162771,0.0098897386,0.0062344749,0.005695398,0.0125376685
2014-01-31,-0.0064862899,-0.0091806352,-0.0012838636,0.0025169863,-0.0017989657,-0.0031950679
2014-02-03,-0.0230966046,-0.0212415941,-0.017534744,-0.0254843738,-0.0243965052,-0.0097131701
2014-02-04,0.0076120434,0.0052612927,0.0089957314,0.0016735713,0.0117531931,0.0088713737
2014-02-05,-0.0020302821,0.0015195226,-0.004215504,-0.0012582229,-0.0026384699,-0.0014701849
2014-02-06,0.0123630544,0.0052777352,0.0067297784,0.0065100268,-0.0009463369,0.0129744327
2014-02-07,0.0132141936,0.0138229812,0.0093647623,0.0133667439,0.013053068,0.0169725716
2014-02-10,0.0015680046,0.0009706756,0.003817067,0.001561203,0.0020807236,0.0048320983
