Date,^GSPC,^^GSPC,0,10,20,30,40
2016-01-05,0.0020102043,0.0020102043,0.0100976368,0.0106302518,0.0089015625,0.0053141983,0.0049360665
2016-01-06,-0.0132021629,-0.0132021629,-0.0060728979,-0.0065770373,-0.0058474937,-0.0052058976,-0.0062918426
2016-01-07,-0.0239858165,0.02,-0.0060728951,-0.0065770373,-0.0058474946,-0.0052058995,-0.0062918426
2016-01-08,-0.0108975377,-0.0108975377,-0.0060728965,-0.0066908002,-0.0058474941,-0.0052058995,-0.0062918426
2016-01-11,0.0008529085,0.0008529085,0.0002793162,-0.0076831132,-0.0058474946,-0.0052058976,-0.0062918426
2016-01-12,0.0077725142,0.0077725142,0.0083127487,0.0029640365,0.0028511118,0.0011375984,0.0059614079
2016-01-13,-0.0252823754,0.02,-0.0060728965,-0.0065770373,-0.025579717,-0.0052058976,-0.0062918402
2016-01-14,0.0165580612,0.0165580612,0.0102394586,0.0117727276,0.0089413701,0.0052048992,0.014128685
2016-01-15,-0.0218357728,0.02,-0.0060728979,-0.0090697221,-0.0058474941,-0.0189667214,-0.0062918426
2016-01-19,0.0005316802,0.0005316802,0.0059157247,0.0013747402,-0.0031447196,-0.0036761612,0.0013502804
2016-01-20,-0.011762766,-0.011762766,-0.0060728951,-0.0083526894,-0.0058474941,-0.0135802384,-0.0062918426
2016-01-21,0.0051819885,0.0051819885,0.0009685708,0.0071404465,0.0064848,0.0054847756,0.0087953256
2016-01-22,0.0200807268,0.0200807268,0.0166957453,0.011370182,0.0145459296,0.0155901965,0.024485996
2016-01-25,-0.015761545,-0.015761545,-0.0060728951,-0.0065770373,-0.0058474937,-0.0105291549,-0.0062918426
2016-01-26,0.0140452379,0.0140452379,0.0077227401,0.0124939531,0.0151716368,0.0116791548,0.0132310949
2016-01-27,-0.0109229225,-0.0109229225,-0.0060728979,-0.0058123823,-0.005413116,-0.0136159472,-0.0061770012
2016-01-28,0.0055133506,0.0055133506,0.0086496444,0.0024709478,0.0039409883,-0.0052058995,-0.0010767113
2016-01-29,0.0244586511,0.0244586511,0.0262035057,0.0251564812,0.0209344029,0.0155901974,0.0240955986
2016-02-01,-0.0004433347,-0.0004433347,-0.0010415702,0.000263758,0.0025226856,-0.0019700471,0.0008527474
2016-02-02,-0.0189209689,-0.0189209689,-0.0060728965,-0.0065770373,-0.0058474937,-0.0090383831,-0.0062918402
2016-02-03,0.00497962,0.00497962,0.0083366632,0.0117944386,0.0109548392,0.0115361055,0.0118793845
2016-02-04,0.0015255684,0.0015255684,0.0033992184,0.0047641266,0.0025232527,0.0103387535,-0.000287272
2016-02-05,-0.0186541581,-0.0186541581,-0.0041752504,-0.0065770373,-0.0058474946,-0.0174748581,-0.0062918426
2016-02-08,-0.0142550582,-0.0142550582,-0.0060728965,-0.0047539547,-0.0263741128,-0.001025591,-0.0062918426
2016-02-09,-0.0006638404,-0.0006638404,0.0087946672,0.0020288806,0.0008343621,0.00050506,0.0007625823
2016-02-10,-0.0001889684,-0.0001889684,0.0049513374,0.0020841639,-0.0003013611,-0.0017159674,0.0043372307
2016-02-11,-0.0123774472,-0.0123774472,-0.0060728951,-0.0092339367,-0.000201703,-0.0052058976,-0.0062918426
2016-02-12,0.0193300151,0.0193300151,0.0170476511,0.0214524306,0.0195347182,0.0155901974,0.0174151529
2016-02-16,0.0163817379,0.0163817379,0.0124956919,0.018125372,0.0162244029,0.0155901974,0.0678427517
2016-02-17,0.0163461105,0.0163461105,0.0115358112,0.0193082076,0.0163565688,0.0155901974,0.0174151529
2016-02-18,-0.004676632,-0.004676632,0.0009463853,-0.0016730744,-0.0048846686,-0.0076802727,-0.0046635661
2016-02-19,-2.60334080879E-05,-2.60334080879E-05,0.0012103305,-0.0028607138,-0.0022259704,-0.0010821838,0.0019539557
2016-02-22,0.0143507313,0.0143507313,0.0061400579,0.0120294187,0.0138848061,0.0141758276,0.0146728028
2016-02-23,-0.0125325773,-0.0125325773,-0.0044786371,-0.0065770373,-0.0058474941,-0.0065989532,-0.0062918426
2016-02-24,0.0044299599,0.0044299599,0.0007731132,0.0013310313,0.0029559424,0.0040064966,0.0031522978
2016-02-25,0.0112843666,0.0112843666,0.0099533675,0.0092002936,0.0109806387,0.0155901965,0.0128126256
2016-02-26,-0.0018718652,-0.0018718652,-0.0060728965,-0.0029923096,-0.0015816865,0.0001146775,0.0006607785
2016-02-29,-0.0081541314,-0.0081541314,-0.0060728951,-0.0065770373,-0.0058474941,-0.0052058976,-0.0062918426
2016-03-01,0.0235883859,0.0235883859,0.0187508091,0.0173054747,0.0140660917,0.0148728387,0.015187066
2016-03-02,0.0040859496,0.0040859496,0.0018435102,0.0113877794,0.0102474978,0.0132786892,0.009741744
2016-03-03,0.0034926342,0.0034926342,0.0004500882,-0.0030634813,0.00086491,0.0041547297,0.0051455004
2016-03-04,0.00330044,0.00330044,-2.13882885873E-05,0.0046699699,0.0039639231,0.0029450832,0.0054956656
2016-03-07,0.000884623,0.000884623,-0.0040727761,-0.002267519,-0.0058474937,-0.00466731,0.0017926972
2016-03-08,-0.0113037561,-0.0113037561,-0.0040654261,-0.0065770373,-0.0058474946,-0.0050115958,-0.0062918426
2016-03-09,0.0050396728,0.0050396728,0.0053565707,0.0064851791,0.0045659728,0.0062733321,0.0068418821
2016-03-10,0.0001557925,0.0001557925,0.0003228565,0.0013018139,-0.0019829364,-0.0020431466,-0.0008905493
2016-03-11,0.0162625455,0.0162625455,0.0135269752,0.0160494652,0.0144459745,0.0155901974,0.0174151529
2016-03-14,-0.0012617682,-0.0012617682,-0.0006570369,-0.0016155187,0.0012617507,0.0009856327,0.0007942254
2016-03-15,-0.001838631,-0.001838631,0.0059991172,-0.0029930975,-0.0058474937,-0.0052058995,-0.0062918426
2016-03-16,0.0055847279,0.0055847279,0.0021396484,0.003921289,0.0050773853,0.00518353,0.0083888257
2016-03-17,0.006573583,0.006573583,0.0101391384,0.0110011417,0.0072493078,0.008971598,0.0072304951
