Date,Adj Close
2014-01-01,46.91
2014-01-02,48.28
2014-01-03,47.64
2014-01-06,46.93
2014-01-07,47.54
2014-01-08,48.12
2014-01-09,48.29
2014-01-10,48.07
2014-01-13,48.51
2014-01-14,48.86
2014-01-15,50.1
2014-01-16,50.04
2014-01-17,51.04
2014-01-20,49.5
2014-01-21,50.37
2014-01-22,49.95
2014-01-23,48.91
2014-01-24,49.32
2014-01-27,47.62
2014-01-28,48.39
2014-01-29,48.23
2014-01-30,48.04
2014-01-31,48.04
2014-02-03,46.94
2014-02-04,46.63
2014-02-05,46.63
2014-02-06,46.94
2014-02-07,47.48
2014-02-10,47.26
2014-02-11,47.53
2014-02-12,48.42
2014-02-13,48.03
2014-02-14,48.47
2014-02-17,49.09
2014-02-18,49.32
2014-02-19,50.0
2014-02-20,49.26
2014-02-21,50.21
2014-02-24,50.48
2014-02-25,50.17
2014-02-26,49.77
2014-02-27,49.59
2014-02-28,52.1
2014-03-03,51.75
2014-03-04,52.01
2014-03-05,53.8
2014-03-06,52.99
2014-03-07,53.79
2014-03-10,54.05
2014-03-11,53.8
2014-03-12,52.94
2014-03-13,52.44
2014-03-14,52.91
2014-03-17,53.45
2014-03-18,53.71
2014-03-19,53.74
2014-03-20,52.64
2014-03-21,50.66
2014-03-24,53.17
2014-03-25,52.89
2014-03-26,54.98
2014-03-27,56.44
2014-03-28,57.57
2014-03-31,57.55
2014-04-01,58.4
2014-04-02,57.57
2014-04-03,56.89
2014-04-04,56.48
2014-04-07,56.1
2014-04-08,55.76
2014-04-09,57.02
2014-04-10,55.02
2014-04-11,55.34
2014-04-14,55.92
2014-04-15,56.38
2014-04-16,56.52
2014-04-17,56.53
2014-04-18,56.53
2014-04-21,56.57
2014-04-22,56.53
2014-04-23,56.48
2014-04-24,56.61
2014-04-25,56.57
2014-04-28,56.23
2014-04-29,56.06
2014-04-30,56.84
2014-05-01,56.84
2014-05-02,56.07
2014-05-05,56.07
2014-05-06,56.4
2014-05-07,56.34
2014-05-08,55.65
2014-05-09,55.93
2014-05-12,54.74
2014-05-13,54.74
2014-05-14,56.04
2014-05-15,56.19
2014-05-16,56.02
2014-05-19,55.29
2014-05-20,54.92
2014-05-21,54.37
2014-05-22,55.56
2014-05-23,55.66
2014-05-26,55.99
2014-05-27,56.11
2014-05-28,55.94
2014-05-29,56.16
2014-05-30,56.11
2014-06-02,56.11
2014-06-03,55.98
2014-06-04,54.63
2014-06-05,54.2
2014-06-06,55.03
2014-06-09,55.47
2014-06-10,54.74
2014-06-11,55.34
2014-06-12,55.26
2014-06-13,55.85
2014-06-16,56.19
2014-06-17,55.79
2014-06-18,54.97
2014-06-19,55.68
2014-06-20,55.65
2014-06-23,54.91
2014-06-24,54.95
2014-06-25,54.52
2014-06-26,55.45
2014-06-27,54.74
2014-06-30,54.11
2014-07-01,54.45
2014-07-02,54.74
2014-07-03,54.8
2014-07-04,54.29
2014-07-07,55.38
2014-07-08,55.42
2014-07-09,55.38
2014-07-10,55.27
2014-07-11,55.2
2014-07-14,54.61
2014-07-15,54.03
2014-07-16,54.4
2014-07-17,54.83
2014-07-18,54.51
2014-07-21,54.58
2014-07-22,54.66
2014-07-23,54.65
2014-07-24,54.74
2014-07-25,54.14
2014-07-28,54.14
2014-07-29,54.65
2014-07-30,54.36
2014-07-31,54.72
2014-08-01,53.87
2014-08-04,54.33
2014-08-05,53.87
2014-08-06,53.92
2014-08-07,53.39
2014-08-08,53.22
2014-08-11,53.2
2014-08-12,53.39
2014-08-13,53.22
2014-08-14,53.24
2014-08-15,54.74
2014-08-18,55.69
2014-08-19,55.39
2014-08-20,55.09
2014-08-21,54.17
2014-08-22,54.9
2014-08-25,55.31
2014-08-26,54.87
