Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-01-05,0.0020102043,0.0020102043,0.0104078902,0.0100798421,0.0121862385,0.0094986968,0.0039357576,0.0069898129,0.0045275334,0.0072782701,0.0026325798
2016-01-06,-0.0132021629,0.01,-0.0021917834,-0.0048743086,-0.0005022658,0.010171134,0.000711047,-0.0003099062,0.0095648486,0.0037049353,0.0078120548
2016-01-07,-0.0239858165,0.01,0.0015892989,0.0035485164,-0.0005022649,0.0162995886,-0.0006906014,-0.0003099041,0.0001535467,0.0038140211,0.0078120548
2016-01-08,-0.0108975377,0.01,-0.003822393,0.0013366197,-0.0005022658,0.0055572744,-0.0006906014,-0.0003099042,-0.0009860146,-0.0023435801,0.0078120548
2016-01-11,0.0008529085,0.0008529085,0.0020916068,-0.0027309256,-0.0005022658,-0.0057532527,-0.0006906013,-0.0003099041,-0.0009860146,0.006624015,0.0015009958
2016-01-12,0.0077725142,0.0077725142,0.0072089713,0.0045057102,0.0051764944,0.0028751111,0.0014840167,-0.0003099021,-0.0003591415,0.0025347937,0.003789884
2016-01-13,-0.0252823754,0.01,0.0109497719,0.0054571237,-0.0005022666,0.0162995774,-0.0006906014,-0.0003099042,0.0309358332,0.0184374433,0.00695867
2016-01-14,0.0165580612,0.0165580612,0.0110772764,0.0157043003,0.0143675283,0.0113350786,0.013561137,0.0224095099,0.0039101867,0.0055524809,0.0123607051
2016-01-15,-0.0218357728,0.01,0.0010904765,0.0035428186,-0.000502264,0.0125460047,-0.0006906014,-0.0003099042,0.0204810854,0.0001150668,0.0078120548
2016-01-19,0.0005316802,0.0005316802,0.0095799975,0.0023343472,-0.0005022658,-0.0009921286,0.0043081478,0.0003463281,-0.0009860172,0.0023858324,-0.0004572673
2016-01-20,-0.011762766,0.01,0.006317012,0.0036269664,-0.0005022658,0.0154701201,-0.0006906014,-0.0003099063,-0.0009365412,-0.0047777519,0.0078120548
2016-01-21,0.0051819885,0.0051819885,0.0027434856,0.0078500751,-0.0100600561,0.0057747439,0.0085186064,0.0139693087,0.0129709002,0.0097190887,0.0085110944
2016-01-22,0.0200807268,0.0200807268,0.0135865426,0.0127294697,0.0138260378,0.0162995867,0.0094175655,0.0231914837,0.012521917,0.00869017,0.0199821703
2016-01-25,-0.015761545,0.01,0.0094205569,0.0009855763,-0.0005022658,0.0130799748,-0.0006906013,-0.0010741127,0.01418598,0.0182892624,0.0078120548
2016-01-26,0.0140452379,0.0140452379,0.0083277076,0.0106165558,0.0120893363,0.0160061885,0.0105312951,0.0179798473,0.0119800474,0.0134625081,0.0128510464
2016-01-27,-0.0109229225,0.01,-0.003822393,-5.13307750225E-05,-0.0005022649,-0.0061574522,-0.0006906013,-6.55612675473E-05,0.0040532746,-0.0055910181,-0.0059593488
2016-01-28,0.0055133506,0.0055133506,0.0089767091,0.0081440266,0.0025103856,0.0049790768,-0.0006906013,-0.0003099042,0.0243094023,0.0081968121,-0.0140349343
2016-01-29,0.0244586511,0.0244586511,0.0266623721,0.0243603997,0.0178024005,0.0142986765,0.0301860403,0.0248583984,0.0119800474,0.019163236,0.0254037604
2016-02-01,-0.0004433347,-0.0004433347,-0.0025905734,0.0009285742,-0.000502264,0.0040466553,0.0030023963,-0.0003099042,0.000512065,-0.0007530823,-5.24865463376E-05
2016-02-02,-0.0189209689,0.01,-0.003619896,0.0038772742,-0.0005022658,0.0133743491,-0.0006906014,-0.000309902,-0.0009860146,0.0037783012,0.0078120539
2016-02-03,0.00497962,0.00497962,0.0063503021,0.012983798,0.0127385147,0.0084666498,0.0144936517,0.003142532,0.0119800493,0.014448747,0.0113599906
