Date,^GSPC,0,10,20,30,40
2015-04-02,0.0035234525,0.0047683446,0.0048442353,0.0030713659,0.0033280002,0.0012117522
2015-04-06,0.0065870725,0.0089769373,0.0113288462,0.0035890071,0.0078573059,0.0053464063
2015-04-07,-0.0020640327,-0.0021629017,-0.0024950579,-0.0020747678,-0.0024423003,-0.0017148377
2015-04-08,0.0026789415,0.0013199104,0.0031929016,-0.0002308385,0.0031488789,0.0096098352
2015-04-09,0.0044475762,0.0021756766,0.008839678,0.0066892207,0.0046033505,0.0052860454
2015-04-10,0.0051893769,0.0023886384,0.0029759966,-0.0018920465,0.0026001679,0.0003439113
2015-04-13,-0.0045918068,-0.0039840648,-0.0031177904,-0.0058355229,-0.0029325336,-0.0051652109
2015-04-14,0.0016284321,-0.0007827058,0.0034389757,-0.0016077673,0.0029975781,0.0003530988
2015-04-15,0.0051349891,0.0014762925,0.0084407814,0.0058719795,0.0089515541,0.0097980332
2015-04-16,-0.000778747,0.0004666466,0.003550902,-0.0074432958,-0.0036216695,-0.0003325967
2015-04-17,-0.0113757039,-0.0118344175,-0.0081652878,-0.0065988563,-0.0108315498,-0.0080540534
2015-04-20,0.0091927483,0.0035942905,0.0059931204,0.0025090901,0.007037919,0.003724114
2015-04-21,-0.0014817024,-0.0040844465,3.37045639753E-05,-0.0029415903,-0.0003686752,0.0012171129
2015-04-22,0.0050745829,-4.89661470056E-05,0.0053941216,-0.0003633974,0.002577343,-0.0008075079
2015-04-23,0.002354941,-0.0065971976,-0.0014532479,0.0021626931,0.0014504474,-0.0015573492
2015-04-24,0.0022502665,0.0046187835,-0.0033713337,-0.0048745112,-0.0012838356,-0.0020853681
2015-04-27,-0.004149913,-0.0078067142,-0.0061233491,-0.0067227883,-0.0042102989,-0.0076294634
2015-04-28,0.0027654045,0.0013257833,0.0017637983,0.0009977538,0.0004354957,-0.0007097926
2015-04-29,-0.0037473481,-0.0118344175,-0.0009098975,-0.006350596,-0.0100045726,-0.002168471
