Date,^GSPC,0,10,20,30,40
2014-11-04,-0.0028338532,0.0054700868,-0.0018463638,-0.0004508179,0.001819347,-0.0025489368
2014-11-05,0.0056843107,-0.0008793632,0.0002216026,0.0033186288,-0.0040408033,0.0008652387
2014-11-06,0.0037684038,0.0027591866,0.0111047802,0.0063924254,0.011041997,0.0051361928
2014-11-07,0.0003495251,-0.0005522287,0.0070144348,-0.0025485684,-0.0042501157,-0.0010963492
2014-11-10,0.0031153271,0.0011377325,0.000527882,-0.001112171,0.0008843886,0.0008558873
2014-11-11,0.0006964517,-0.0002224352,-0.0021069339,0.0025927317,-0.0030106646,-0.0034139259
2014-11-12,-0.0007013627,-0.0002275128,-0.0060265828,-0.0009413622,-0.0039728279,-0.0008995766
2014-11-13,0.0005297044,-0.0008481657,-0.0074602868,0.0003972636,-0.0036283438,-0.0028406037
2014-11-14,0.0002402412,-0.0088101113,-0.0074602868,0.0059368,-0.0032790005,-0.0020414926
2014-11-17,0.0007350888,0.0001173457,0.001941652,-0.0019637994,-0.0006713467,-0.0024521472
2014-11-18,0.0051208496,-0.0001292834,-0.0038951375,0.004980274,0.009029584,0.0053089811
2014-11-19,-0.0015022868,-0.0010291245,-0.0035905484,-0.0026271618,0.0031981301,0.0031743599
2014-11-20,0.0019651639,-0.004170279,-0.0022825021,0.0063924263,0.002933857,0.0051602619
2014-11-21,0.0052232126,0.0034049014,0.0078499001,0.0063924268,0.0050343089,0.0017078659
2014-11-24,0.0028599298,-0.0008919965,-0.0010087816,0.0029432338,0.004066539,0.0015352601
2014-11-25,-0.0011506916,0.0006486466,-0.00366724,0.0026569529,-0.000160411,0.000460769
2014-11-26,0.0028020526,0.0018438576,0.002947147,0.0063924249,0.0036238637,0.0025169412
2014-11-28,-0.0025456644,0.0064161355,0.0002581514,-0.0008081379,-0.002733699,-0.0048915418
2014-12-01,-0.0068527897,-0.0071038967,-0.0074602868,-0.0155404545,-0.0077889632,-0.0113868453
2014-12-02,0.006364167,0.0035043955,0.0022756578,0.0063924263,0.0085353684,0.0024822345
2014-12-03,0.0037576737,-0.002415088,0.0041005826,0.005836484,0.0045674201,0.0008339612
2014-12-04,-0.0011625716,0.0019686744,-0.0042329822,-0.0012182724,0.0036926372,0.0014517242
2014-12-05,0.0016638314,0.0005312404,-0.0003154362,0.0008492284,-0.0004708311,0.0006039506
2014-12-08,-0.0072830219,-0.0006515337,-0.0032669138,-0.0053564706,-0.0098087704,-0.0130059309
2014-12-09,-0.0002378522,-0.004353744,0.0009180615,0.0038070315,0.0001136875,-0.0013479572
2014-12-10,-0.0164861208,-0.006824472,-0.0074602868,-0.0149373338,-0.0098087713,-0.013403235
2014-12-11,0.0045254338,0.0009016404,0.0039922898,0.0037116178,0.0009748172,0.0094683794
2014-12-12,-0.0163464658,-0.0114636635,-0.0074602868,-0.0135540832,-0.0106471991,-0.0136260306
2014-12-15,-0.0063627862,-0.0031103687,-0.0074602868,-0.0129993446,-0.0086374395,-0.0068790354
2014-12-16,-0.00852526,-0.0040856441,-0.0036284076,-0.0058959569,-0.0061112316,-0.0084917415
2014-12-17,0.0201480735,0.0151794422,0.0111047802,0.0038070311,0.0186159816,0.021542903
2014-12-18,0.0237313745,0.011031175,0.0111047793,0.0063924263,0.0169286393,0.0232582651
2014-12-19,0.004559638,2.6467256248E-05,0.0111047793,0.0038070315,0.0038209157,0.0044227717
2014-12-22,0.0038032226,0.0056746779,-0.0018843422,0.0029941516,0.0013171788,-0.003172759
2014-12-23,0.0017448387,0.0069397506,-0.0038345419,0.0063924263,-0.0020364914,0.0014120666
2014-12-24,-0.0001393062,-0.0068394626,0.0005070055,0.0063924277,0.0019585649,-0.0006748755
2014-12-26,0.0033041101,-0.0002835998,0.0082934787,0.0063924263,0.0071293339,0.0038311956
2014-12-29,0.000861403,-0.0025805682,0.0019876203,-0.0015063989,-0.0001960807,-0.0002129609
2014-12-30,-0.0049005927,-0.0026561068,-0.006724624,-0.000626531,-0.006619154,-0.005327764
2014-12-31,-0.0103643839,-0.0119411601,-0.0074602868,-0.0071097477,-0.0080655543,-0.0086875474
2015-01-02,-0.0003400214,0.0004991572,0.0041116579,0.0024673492,0.0020651417,-0.000137276
2015-01-05,-0.0184472135,-0.0070988992,-0.0074602868,-0.016304126,-0.0106471991,-0.0113247437
2015-01-06,-0.0089332548,-0.0056454064,-0.0074602868,-0.0085810013,-0.0098087713,-0.0078600589
2015-01-07,0.0115627358,0.0087403879,0.0092397928,0.0063924263,0.0123557728,0.0109193074
2015-01-08,0.0177301685,0.0115075298,0.0111047784,0.0063924263,0.016120309,0.0154473661
2015-01-09,-0.0084393222,-0.0053281328,-0.0074602868,0.0063924263,-0.0080792792,-0.0066380003
2015-01-12,-0.0081266169,-0.0041691503,-0.0074602868,-0.0121983942,-0.0097915065,-0.0109804524
2015-01-13,-0.0025818857,0.0020772405,-0.0001049181,-0.0078344364,-0.0007154969,-0.0024074819
2015-01-14,-0.0058300286,-0.0003682394,-0.0074602868,-0.0069674742,-0.0097956406,-0.0056307837
2015-01-15,-0.0092909032,-0.0010707118,-0.0025710445,0.0063924263,-0.0106471991,-0.0078919064
2015-01-16,0.0133348932,0.0087772254,0.0111047784,0.0063924263,0.0138097592,0.0157511085
2015-01-20,0.0015487525,0.0011791997,0.0005924944,0.0063924263,0.0023204684,0.0055330312
2015-01-21,0.0047204649,-0.0050105816,0.0029799547,0.0063924259,0.0050178021,0.001833871
2015-01-22,0.015154313,0.0160833895,0.0111047793,0.0063924268,0.0069768503,0.0101834806
2015-01-23,-0.0055066563,-0.0142768556,-0.0074602868,-0.0058585298,-0.0055324612,-0.0050047804
2015-01-26,0.0025651682,0.0002688831,0.0029580928,0.0038070315,0.0078037791,0.0082093151
2015-01-27,-0.0134782878,-0.0139765376,-0.0118880719,-0.0121917631,-0.0083417306,-0.0080340616
2015-01-28,-0.013587503,-0.0113962078,-0.0074602868,-0.0183314439,-0.0076814322,-0.0112653663
