Date,^GSPC,0,10,20,30,40
2014-01-03,-0.0003330203,0.0024036355,-0.0010805186,-0.00101698,-0.0012601567,-0.0012475941
2014-01-06,-0.0025149269,-0.0003677048,-0.0037139021,-0.0051415842,-0.0056774532,-0.004327558
2014-01-07,0.0060633452,0.0100615062,0.0080031045,0.0073420499,0.0073730014,0.0058800746
2014-01-08,-0.0002122317,-0.0024528541,0.000961436,0.00051542,0.0025714263,-0.00095452
2014-01-09,0.0003482487,0.0051905662,0.0049239025,0.0003993046,0.0035149092,0.0002962109
2014-01-10,0.0023040304,0.0001188852,0.0015867762,0.0046300683,0.005563573,0.0022262391
2014-01-13,-0.0126559665,-0.0111035109,-0.0119801983,-0.0147342747,-0.0149094863,-0.0145378746
2014-01-14,0.0107598763,0.0105532929,0.0111303814,0.0111037474,0.0089875571,0.0105022434
2014-01-15,0.0051528891,0.0035058185,0.002379477,0.0034695547,0.003711815,0.0019821767
2014-01-16,-0.0013480284,-0.000280777,0.0009141807,-0.0072245505,-0.0042625153,-0.0015444756
2014-01-17,-0.0039027806,-0.001264343,-0.0011933111,-0.0040172823,-0.002648118,-0.0039265119
2014-01-21,0.0027699124,-0.0020693578,0.0002506953,0.0023141876,0.0009897184,-8.6322426796E-05
2014-01-22,0.0005746998,0.0009841099,0.0006082524,0.0024796296,0.0042641591,-0.0010577925
2014-01-23,-0.0089293245,-0.0089791398,-0.0069567095,-0.005803287,-0.0117020709,-0.0091115609
2014-01-24,-0.0210964215,-0.0188490413,-0.0193757452,-0.0152394753,-0.0213783309,-0.0193826109
2014-01-27,-0.0048882216,-0.0007905848,-0.00200231,-0.0028885324,-0.0028690035,-0.0046920776
2014-01-28,0.0061218754,0.0078255087,0.0091144815,0.0091661941,0.0095928777,0.0079046004
2014-01-29,-0.010261704,-0.0119765922,-0.009071188,-0.0113476757,-0.014695893,-0.0119404867
2014-01-30,0.0112040442,0.0095629692,0.0111923218,0.0079897512,0.0133556426,0.0133254556
2014-01-31,-0.0064862899,-0.0066069793,-0.0060679726,-0.0019195154,0.0002580537,-0.0060680136
2014-02-03,-0.0230966046,-0.0258866735,-0.0227591135,-0.0259849261,-0.022857558,-0.0260536075
2014-02-04,0.0076120434,0.0067379363,0.0057653375,0.0038935337,0.010571938,0.0052849427
2014-02-05,-0.0020302821,0.0038092248,0.0012552682,0.0014715139,-0.0015295539,0.00012438
2014-02-06,0.0123630544,0.0079538263,0.0072372071,0.0113572683,0.0088259364,0.0094057415
2014-02-07,0.0132141936,0.0165509842,0.0176407807,0.0174950492,0.0101750698,0.0143803013
2014-02-10,0.0015680046,0.0047676824,0.0053682141,0.0072679874,0.0067877546,0.0029827449
