Date,T39.SI,S59.SI,U96.SI,A17U.SI,N21.SI,U14.SI,U11.SI,S63.SI,O39.SI,C61U.SI,CC3.SI,MC0.SI,C09.SI,Y92.SI,BN4.SI,S58.SI,D05.SI,C52.SI,C38U.SI,Z74.SI,C31.SI,F34.SI,J36.SI,G13.SI,C07.SI,S51.SI,BS6.SI,H78.SI,E5H.SI,^STI
2014-01-02,3.69,4.477,4.863,1.7882,0.79019,5.65,18.9,3.53,8.51709,1.189,3.581,2.708,9.14,0.011,9.51759,2.87,15.2,1.795,1.594,3.27,2.79319,3.12,48.28,1.42393,32.4202,3.96,1.046,5.31,0.52258,3174.649902
2014-01-03,3.61,4.45,4.819,1.75599,0.77164,5.55,18.61,3.46,8.38322,1.169,3.555,2.662,8.98,0.011,9.37313,2.85,15.09,1.786,1.573,3.22,2.75619,3.083,47.64,1.40019,32.03406,3.943,1.029,5.29,0.51783,3131.469971
2014-01-06,3.62,4.45,4.863,1.76404,0.76793,5.56,18.57,3.49,8.25773,1.169,3.522,2.69,8.97,0.011,9.44111,2.83,15.12,1.746,1.581,3.16,2.73769,3.092,46.93,1.40969,32.13276,3.943,1.02,5.29,0.52733,3123.820068
2014-01-07,3.59,4.468,4.783,1.76404,0.76422,5.5,18.45,3.49,8.15733,1.173,3.539,2.662,8.93,0.011,9.5006,2.82,15.14,1.786,1.581,3.16,2.73769,3.065,47.54,1.40969,32.48308,3.943,1.029,5.34,0.51783,3120.879883
2014-01-08,3.59,4.468,4.828,1.7721,0.77164,5.57,18.79,3.52,8.1657,1.201,3.572,2.69,9.1,0.011,9.53459,2.87,15.44,1.804,1.577,3.17,2.75619,3.102,48.12,1.40969,32.77938,3.925,1.064,5.45,0.51783,3150.649902
2014-01-09,3.61,4.45,4.774,1.76404,0.76793,5.56,18.84,3.48,8.14896,1.21,3.597,2.727,9.12,0.011,9.39862,2.84,15.41,1.772,1.56,3.18,2.74694,3.092,48.29,1.42393,32.74346,3.907,1.073,5.52,0.50358,3145.409912
2014-01-10,3.63,4.468,4.801,1.75599,0.76793,5.6,18.73,3.49,8.15733,1.193,3.614,2.717,9.12,0.011,9.37313,2.86,15.44,1.777,1.564,3.18,2.73769,3.083,48.07,1.40969,32.77938,3.88,1.068,5.6,0.50358,3143.870117
2014-01-13,3.61,4.477,4.704,1.74793,0.77164,5.56,18.7,3.48,8.1406,1.197,3.564,2.717,9.13,0.011,9.33064,2.84,15.33,1.804,1.564,3.17,2.72845,3.046,48.51,1.41918,32.89618,3.826,1.09,5.59,0.50358,3135.48999
2014-01-14,3.58,4.468,4.766,1.73182,0.76422,5.53,18.49,3.48,8.1155,1.189,3.555,2.745,9.12,0.011,9.22867,2.84,15.31,1.764,1.556,3.14,2.70995,2.991,48.86,1.41918,33.74935,3.782,1.073,5.59,0.49883,3123.75
2014-01-15,3.58,4.441,4.766,1.75599,0.76793,5.47,18.45,3.47,8.1406,1.201,3.539,2.736,9.21,0.011,9.22017,2.81,15.41,1.755,1.577,3.15,2.70995,3.01,50.1,1.41918,35.38376,3.773,1.055,5.64,0.49883,3143.25
